AeshniOdoHex,AmpMal,AphidaHemHex,AraAra,BelostHemHex,BrachyDipHex,BrachyTriHex,CaenidEphHex,CambarDecMal,CeratoDipHex,ChaoboDipHex,ChironDipHex,CicadeHemHex,CoenagOdoHex,Cop,CordulOdoHex,CorixiHemHex,CuliciDipHex,CurculColHex,DipHex,DytiscColHex,EphydrDipHex,GerridHemHex,GyriniColHex,HaliplColHex,HebridHemHex,HelophColHex,Hir,HydAra,HydropColHex,IsonycEphHex,IsotomColHex,LibellOdoHex,LimnepTriHex,LymnaeProGas,MesoveHemHex,MuscidDipHex,NepidaHemHex,NotoneHemHex,Oli,PhrygaTriHex,PhysidProGas,PlanorPulGas,PleidaHemHex,PodOst,PoduriColHex,ScirtiColHex,SminthColHex,SphaerVenBiv,StratiDipHex,TipuliDipHex,VeliidHemHex
0,2,0,0,0,0,0,0,0,6,0,224,0,0,0,0,13,0,0,0,5,0,0,0,6,0,0,5,0,1,0,0,0,0,270,0,0,0,0,0,0,69,1336,0,30,0,0,0,0,0,0,0
4,69,0,0,0,0,0,7,0,2,0,291,0,5,0,0,114,0,0,0,37,0,0,0,1,0,0,6,15,9,44,0,0,0,8,0,0,0,26,15,0,11,45,2,81,0,0,0,0,0,0,0
1,8,0,0,0,0,0,3,0,0,0,205,0,4,0,0,117,0,1,0,10,0,0,0,2,0,0,2,14,3,19,0,0,0,6,0,0,0,4,0,0,7,51,5,12,0,0,0,0,0,0,0
2,549,0,0,0,0,0,13,0,3,0,64,0,6,0,0,146,0,0,0,7,0,0,0,19,0,0,5,18,6,16,2,0,0,36,0,0,0,15,1,0,60,1367,11,146,0,0,0,0,1,0,6
0,27,0,0,0,0,0,0,0,0,0,7,0,2,0,0,26,0,0,0,1,0,0,0,3,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,14,336,0,4,0,0,0,0,0,0,0
0,11,0,0,0,0,0,5,0,0,0,1946,0,1,0,0,106,0,0,0,3,0,0,0,9,0,0,4,1,0,2,0,0,0,15,0,0,0,2,0,0,44,2144,1,19,0,0,0,0,0,0,0
13,0,0,0,1,0,0,1,0,0,0,84,0,11,0,0,46,0,4,0,4,2,0,0,7,0,0,1,1,19,325,0,1,0,155,0,0,0,25,3,0,212,838,0,190,0,0,0,0,2,0,1
4,4,0,0,0,0,2,0,1,0,0,15,0,13,0,0,55,0,0,1,3,4,0,0,1,0,0,0,2,16,372,0,1,0,129,0,0,0,30,3,0,193,393,0,56,0,0,0,0,2,0,0
2,1,0,0,0,0,0,1,0,0,0,63,0,1,0,0,37,0,1,0,0,0,0,0,4,0,0,1,0,8,230,0,1,0,42,0,0,0,6,2,0,108,480,0,10,0,0,0,0,2,1,0
0,0,0,0,1,0,0,6,0,0,0,12,0,6,0,3,15,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,86,0,0,0,2,0,0,314,843,0,8,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,4,0,9,0,3,33,0,0,0,0,0,0,0,0,0,0,0,2,3,3,0,0,0,28,0,0,0,5,0,0,448,621,1,9,0,0,0,0,0,0,1
