AeshniOdoHex,AmpMal,AraAra,BelostHemHex,BrachyTriHex,CaenidEphHex,CambarDecMal,CeratoDipHex,ChaoboDipHex,ChironDipHex,CoenagOdoHex,Cop,CordulOdoHex,CorixiHemHex,CurculColHex,DytiscColHex,EphydrDipHex,GerridHemHex,HaliplColHex,HebridHemHex,Hir,HydAra,HydropColHex,IsonycEphHex,IsotomColHex,LibellOdoHex,LymnaeProGas,NotoneHemHex,Oli,PhysidProGas,PlanorPulGas,PleidaHemHex,PodOst,PoduriColHex,StratiDipHex,TipuliDipHex,VeliidHemHex
9,0,1,1,0,0,0,0,1,43,12,1,0,12,0,0,0,0,1,0,2,1,0,1,0,0,159,0,0,82,23,2,0,0,0,0,0
0,24,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,3,1,0,1,0,0,4,0,0,0,12,0,0,0,0,0,0
0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,16,1,0,0,0,0,0
0,19,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,3,8,1,1,0,0,0,0
0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,8,20,0,2,6,0,0,0,0,0,0
0,20,0,0,0,24,0,18,0,197,1,0,0,2,0,1,1,0,3,0,4,0,0,15,0,0,8,0,0,1,14,0,0,0,0,0,0
1,1560,0,0,0,15,0,2,0,293,3,1,0,2,0,1,0,1,4,0,1,0,0,12,0,0,44,0,0,38,50,0,0,0,0,0,0
1,3259,0,0,0,14,0,0,0,379,1,5,0,0,0,1,10,0,0,0,3,1,0,10,0,0,151,1,0,7,25,0,10,0,0,0,1
0,2064,0,0,0,14,0,1,0,290,1,0,0,14,0,0,41,0,6,0,0,1,0,30,0,0,71,0,0,46,47,0,0,0,0,0,0
3,29,0,0,0,0,0,7,0,3,6,13,0,20,0,3,0,0,1,1,0,1,3,2,0,0,11,22,1,14,14,0,40,0,0,0,0
0,33,0,0,1,0,0,4,0,5,13,1,0,18,4,2,0,0,2,0,1,2,0,0,1,0,2,15,0,119,29,0,63,0,0,0,0
4,5,0,0,0,0,0,0,0,7,5,5,0,15,0,4,0,0,1,0,0,1,1,3,0,0,32,7,0,34,12,0,123,0,0,0,0
15,12,0,0,0,0,0,2,0,17,15,13,0,26,2,5,0,0,1,0,0,0,3,7,0,0,25,13,0,28,10,0,28,2,0,0,1
0,13,0,0,0,1,0,1,0,1,4,2,0,64,0,5,0,0,0,0,0,3,0,1,0,0,14,2,0,83,35,2,107,0,0,0,1
0,306,0,0,0,0,0,3,0,0,3,0,0,32,0,8,0,0,0,0,2,1,0,2,2,0,7,0,0,55,40,0,25,0,0,0,0
0,1,0,0,0,0,0,1,0,0,2,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,22,21,0,10,0,0,0,2
0,67,0,0,0,0,0,0,0,2,0,1,0,12,0,3,0,0,0,0,0,0,0,0,0,0,3,2,0,13,37,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,33,1,0,14,236,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,1,6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,79,2,0,18,150,0,25,0,1,0,0
8,0,0,0,0,0,0,0,0,7,14,0,0,2,1,1,0,0,3,0,0,0,0,0,0,0,106,3,0,36,56,1,81,0,0,0,0
0,0,0,0,0,0,0,0,0,20,8,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,43,0,0,12,21,0,6,0,0,0,0
4,54,0,1,0,1,0,0,0,6,15,0,0,18,1,1,0,2,1,1,0,1,1,2,2,0,0,2,0,40,17,63,191,0,0,0,0
0,197,0,0,0,0,0,0,0,8,7,0,0,5,0,4,0,0,0,0,0,0,1,0,1,0,3,4,0,37,41,64,96,0,0,0,0
0,5,0,0,0,0,0,0,0,41,0,0,0,4,0,1,0,0,0,0,1,0,1,0,1,0,2,2,0,17,13,6,590,0,0,0,0
1,0,0,2,0,0,0,0,2,189,0,0,0,0,0,3,0,0,0,0,0,0,4,2,0,0,8,16,0,23,6,13,361,0,1,0,0
6,6,4,0,0,1,0,0,0,7,6,0,0,4,0,9,0,0,0,0,0,0,3,0,4,0,57,1,0,117,15,0,1,0,0,0,24
12,16,0,0,0,0,0,0,0,1,3,10,0,28,0,2,0,0,0,0,0,1,1,2,0,0,42,2,0,81,28,1,17,0,1,0,2
0,71,0,1,0,1,0,0,0,4,1,10,0,1,0,13,0,0,1,0,0,1,3,0,0,0,83,0,0,40,10,1,5,0,0,0,13
2,7,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,2,0,4,0,16,0,0,0,17,0,0,29,70,0,14,0,1,0,2
